year,fuel_type,registrations,yearly_total,market_share_pct
2021,PETROL,157011,197062,79.68
2021,DIESEL,16306,197062,8.27
2021,PETROL/CNG,10167,197062,5.16
2021,"CNG ONLY",4961,197062,2.52
2021,PETROL/HYBRID,4441,197062,2.25
2021,ELECTRIC(BOV),4165,197062,2.11
2021,"NOT APPLICABLE",11,197062,0.01
2022,PETROL,178366,242335,73.60
2022,DIESEL,21839,242335,9.01
2022,PETROL/CNG,15736,242335,6.49
2022,ELECTRIC(BOV),12863,242335,5.31
2022,"CNG ONLY",7674,242335,3.17
2022,PETROL/HYBRID,5753,242335,2.37
2022,DIESEL/HYBRID,84,242335,0.03
2022,"NOT APPLICABLE",20,242335,0.01
2023,PETROL,177497,254752,69.67
2023,DIESEL,22758,254752,8.93
2023,PETROL/CNG,16956,254752,6.66
2023,ELECTRIC(BOV),13053,254752,5.12
2023,PETROL/HYBRID,10285,254752,4.04
2023,"CNG ONLY",9981,254752,3.92
2023,PETROL/ETHANOL,3956,254752,1.55
2023,DIESEL/HYBRID,258,254752,0.10
2023,"NOT APPLICABLE",8,254752,0.00
2024,PETROL,189848,280531,67.67
2024,PETROL/CNG,23100,280531,8.23
2024,DIESEL,21710,280531,7.74
2024,"CNG ONLY",12770,280531,4.55
2024,ELECTRIC(BOV),8992,280531,3.21
2024,PETROL/ETHANOL,8187,280531,2.92
2024,PETROL/HYBRID,7781,280531,2.77
2024,"PURE EV",4298,280531,1.53
2024,"STRONG HYBRID EV",3300,280531,1.18
2024,DIESEL/HYBRID,508,280531,0.18
2024,"NOT APPLICABLE",14,280531,0.00
2024,ETHANOL,11,280531,0.00
2024,LNG,7,280531,0.00
2024,"PLUG-IN HYBRID EV",5,280531,0.00
