year,rto_name,metric,total_count
2021,"MUMBAI (CENTRAL)","Permit Category",5083
2021,"MUMBAI (CENTRAL)","Permit Purpose",6397
2021,"MUMBAI (CENTRAL)","Permit Type",6397
2021,"MUMBAI (CENTRAL)","Registration Category",53007
2021,"MUMBAI (CENTRAL)","Registration Class",53007
2021,"MUMBAI (CENTRAL)","Registration Fuel",53007
2021,"MUMBAI (CENTRAL)","Registration Manufacturer",53007
2021,"MUMBAI (CENTRAL)","Registration Standard",53007
2021,"MUMBAI (CENTRAL)","Revenue (Fee)",1505127
2021,"MUMBAI (CENTRAL)","Revenue (Tax)",4648391
2021,"MUMBAI (CENTRAL)",Transaction,238827
2021,"MUMBAI (EAST)","Permit Category",6149
2021,"MUMBAI (EAST)","Permit Purpose",6158
2021,"MUMBAI (EAST)","Permit Type",6158
2021,"MUMBAI (EAST)","Registration Category",52276
2021,"MUMBAI (EAST)","Registration Class",52276
2021,"MUMBAI (EAST)","Registration Fuel",52276
2021,"MUMBAI (EAST)","Registration Manufacturer",52276
2021,"MUMBAI (EAST)","Registration Standard",52276
2021,"MUMBAI (EAST)","Revenue (Fee)",16769951
2021,"MUMBAI (EAST)","Revenue (Tax)",783789
2021,"MUMBAI (EAST)",Transaction,281028
2021,"MUMBAI (WEST)","Permit Category",3350
2021,"MUMBAI (WEST)","Permit Purpose",3426
2021,"MUMBAI (WEST)","Permit Type",3426
2021,"MUMBAI (WEST)","Registration Category",40348
2021,"MUMBAI (WEST)","Registration Class",40348
2021,"MUMBAI (WEST)","Registration Fuel",40348
2021,"MUMBAI (WEST)","Registration Manufacturer",40348
2021,"MUMBAI (WEST)","Registration Standard",40348
2021,"MUMBAI (WEST)","Revenue (Fee)",18804223
2021,"MUMBAI (WEST)","Revenue (Tax)",6700437
2021,"MUMBAI (WEST)",Transaction,215937
2021,R.T.O.BORIVALI,"Permit Category",4565
2021,R.T.O.BORIVALI,"Permit Purpose",6146
2021,R.T.O.BORIVALI,"Permit Type",6146
2021,R.T.O.BORIVALI,"Registration Category",51431
2021,R.T.O.BORIVALI,"Registration Class",51431
2021,R.T.O.BORIVALI,"Registration Fuel",51431
