year,rto_name,total_registrations,previous_year,year_on_year_change
2021,"MUMBAI (CENTRAL)",53007,NULL,NULL
2022,"MUMBAI (CENTRAL)",65489,53007,12482
2023,"MUMBAI (CENTRAL)",67293,65489,1804
2024,"MUMBAI (CENTRAL)",71817,67293,4524
2025,"MUMBAI (CENTRAL)",35992,71817,-35825
2021,"MUMBAI (EAST)",52276,NULL,NULL
2022,"MUMBAI (EAST)",63918,52276,11642
2023,"MUMBAI (EAST)",66720,63918,2802
2024,"MUMBAI (EAST)",76800,66720,10080
2025,"MUMBAI (EAST)",38919,76800,-37881
2021,"MUMBAI (WEST)",40348,NULL,NULL
2022,"MUMBAI (WEST)",51084,40348,10736
2023,"MUMBAI (WEST)",55933,51084,4849
2024,"MUMBAI (WEST)",60569,55933,4636
2025,"MUMBAI (WEST)",29967,60569,-30602
2021,R.T.O.BORIVALI,51431,NULL,NULL
2022,R.T.O.BORIVALI,61844,51431,10413
2023,R.T.O.BORIVALI,64806,61844,2962
2024,R.T.O.BORIVALI,71345,64806,6539
2025,R.T.O.BORIVALI,36050,71345,-35295
